service_id,date,exception_type
2,20110515,2
6,20110515,2
2616,20110515,1
2,20110522,2
6,20110522,2
2617,20110522,1
1,20110528,2
2,20110528,2
2628,20110528,1
2,20110529,2
6,20110529,2
2629,20110529,1
3,20110516,2
4,20110516,2
2631,20110516,1
3,20110524,2
3,20110607,2
3,20110608,2
3,20110609,2
3,20110614,2
3,20110615,2
2635,20110524,1
2635,20110607,1
2635,20110608,1
2635,20110609,1
2635,20110614,1
2635,20110615,1
3,20110525,2
3,20110616,2
2636,20110525,1
2636,20110616,1
3,20110531,2
2637,20110531,1
3,20110527,2
5,20110527,2
2639,20110527,1
3,20110603,2
5,20110603,2
2640,20110603,1
3,20110530,2
4,20110530,2
2641,20110530,1
1,20110604,2
2,20110604,2
2647,20110604,1
3,20110606,2
4,20110606,2
2649,20110606,1
1,20110611,2
2,20110611,2
1,20110625,2
2,20110625,2
2650,20110611,1
2650,20110625,1
2,20110612,2
6,20110612,2
2,20110626,2
6,20110626,2
2651,20110612,1
2651,20110626,1
3,20110613,2
4,20110613,2
2652,20110613,1
3,20110701,2
5,20110701,2
2653,20110701,1
1,20110702,2
2,20110702,2
2657,20110702,1
2,20110703,2
6,20110703,2
2658,20110703,1
3,20110704,2
4,20110704,2
2659,20110704,1
