service_id,date,exception_type
1,20110309,2
2538,20110309,1
1,20110310,2
2538,20110310,1
1,20110311,2
3,20110311,2
2547,20110311,1
4,20110312,2
5,20110312,2
2548,20110312,1
2,20110313,2
5,20110313,2
6,20110313,2
2549,20110313,1
1,20110314,2
2,20110314,2
2537,20110314,1
1,20110315,2
2538,20110315,1
1,20110316,2
2538,20110316,1
1,20110317,2
2538,20110317,1
1,20110318,2
3,20110318,2
2547,20110318,1
4,20110319,2
5,20110319,2
2548,20110319,1
2,20110320,2
5,20110320,2
6,20110320,2
2549,20110320,1
1,20110321,2
2,20110321,2
2537,20110321,1
1,20110322,2
2538,20110322,1
1,20110323,2
2538,20110323,1
1,20110324,2
2538,20110324,1
1,20110325,2
3,20110325,2
2547,20110325,1
4,20110326,2
5,20110326,2
2548,20110326,1
2,20110327,2
5,20110327,2
6,20110327,2
2549,20110327,1
1,20110328,2
2,20110328,2
2537,20110328,1
1,20110329,2
2538,20110329,1
1,20110330,2
2538,20110330,1
1,20110331,2
2538,20110331,1
1,20110401,2
3,20110401,2
2547,20110401,1
4,20110402,2
5,20110402,2
2548,20110402,1
